MSA_Code,MSA_Name,Pop 2000,C02 - Total
22460,"Florence, AL MSA",142950,2152371.989
22500,"Florence, SC MSA",193155,3695289.915
22540,"Fond du Lac, WI MSA",97296,304121.9536
22660,"Fort Collins-Loveland, CO MSA",251494,1246235.367
22900,"Fort Smith, AR-OK MSA",273170,2994845.429
23020,"Fort Walton Beach-Crestview-Destin, FL MSA",170498,530873.1773
23060,"Fort Wayne, IN MSA",390156,1332381.623
23420,"Fresno, CA MSA",799407,1785504.364
23460,"Gadsden, AL MSA",103459,422519.9192
23540,"Gainesville, FL MSA",232392,1202223.59
23580,"Gainesville, GA MSA",139277,541484.5981
24020,"Glens Falls, NY MSA",124345,534095.8377
24140,"Goldsboro, NC MSA",113329,844100.4617
24220,"Grand Forks, ND-MN MSA",97478,622157.1701
24300,"Grand Junction, CO MSA",116255,472127.4832
24340,"Grand Rapids-Wyoming, MI MSA",740482,2225066.452
24500,"Great Falls, MT MSA",80357,246755.6409
24540,"Greeley, CO MSA",180936,1690290.135
24580,"Green Bay, WI MSA",282599,2064278.881
24660,"Greensboro-High Point, NC MSA",643430,1997534.265
24780,"Greenville, NC MSA",152772,312057.5148
24860,"Greenville, SC MSA",559940,1506410.441
25060,"Gulfport-Biloxi, MS MSA",246190,1944011.009
25180,"Hagerstown-Martinsburg, MD-WV MSA",222771,1148478.562
25260,"Hanford-Corcoran, CA MSA",129461,510489.5042
25420,"Harrisburg-Carlisle, PA MSA",509074,1622305.127
25500,"Harrisonburg, VA MSA",108193,522409.5439
25540,"Hartford-West Hartford-East Hartford, CT MSA",1148618,3257170.116
25620,"Hattiesburg, MS MSA",123812,1054325.753
25860,"Hickory-Morganton-Lenoir, NC MSA",341851,3968682.445
25980,"Hinesville-Fort Stewart, GA MSA",71914,164242.4483
26100,"Holland-Grand Haven, MI MSA",238314,3365836.358
26180,"Honolulu, HI MSA",876156,2894832.223
26300,"Hot Springs, AR MSA",88068,217671.886
26380,"Houma-Bayou Cane-Thibodaux, LA MSA",194477,1107247.343
26420,"Houston-Baytown-Sugar Land, TX MSA",4715407,33237825.16
26580,"Huntington-Ashland, WV-KY-OH MSA",288649,1767974.446
26620,"Huntsville, AL MSA",342376,944686.5099
26820,"Idaho Falls, ID MSA",101677,283884.1877
26900,"Indianapolis, IN MSA",1525104,6363263.55
26980,"Iowa City, IA MSA",131676,405812.5918
27060,"Ithaca, NY MSA",96501,917339.1036
27100,"Jackson, MI MSA",158422,503986.5954
27140,"Jackson, MS MSA",497197,1585841.209
27180,"Jackson, TN MSA",107377,406484.3954
27260,"Jacksonville, FL MSA",1122750,7110143.3
27340,"Jacksonville, NC MSA",150355,248844.8327
27500,"Janesville, WI MSA",152307,560593.2403
27620,"Jefferson City, MO MSA",140052,575655.1335
27740,"Johnson City, TN MSA",181607,364893.7916
27780,"Johnstown, PA MSA",152598,376766.4163
27860,"Jonesboro, AR MSA",107762,364976.6122
27900,"Joplin, MO MSA",157322,1057524.786
28020,"Kalamazoo-Portage, MI MSA",314866,1030699.763
28100,"Kankakee-Bradley, IL MSA",103833,378035.7217
28140,"Kansas City, MO-KS MSA",1836038,12762337.46
28420,"Kennewick-Richland-Pasco, WA MSA",191822,488471.5903
28660,"Killeen-Temple-Fort Hood, TX MSA",330714,667743.33
28700,"Kingsport-Bristol, TN-VA MSA",230014,1926513.197
28740,"Kingston, NY MSA",177749,470350.2231
28940,"Knoxville, TN MSA",616079,3574051.861
29020,"Kokomo, IN MSA",101541,386438.0496
29100,"La Crosse, WI-MN MSA",126838,397056.8869
29140,"Lafayette, IN MSA",178541,855872.7612
29180,"Lafayette, LA MSA",239086,967241.9373
29340,"Lake Charles, LA MSA",193568,6224225.246
29460,"Lakeland-Winter Haven, FL MSA",483924,3621321.671
29540,"Lancaster, PA MSA",470658,1544643.976
29620,"Lansing-East Lansing, MI MSA",447728,2296978.954
29700,"Laredo, TX MSA",193117,407319.1508
29740,"Las Cruces, NM MSA",174682,634158.4886
29820,"Las Vegas-Paradise, NV MSA",1375765,6828895.942
29940,"Lawrence, KS MSA",99962,1539442.715
30020,"Lawton, OK MSA",114996,530833.3591
30140,"Lebanon, PA MSA",120327,477886.4614
30300,"Lewiston, ID-WA MSA",57961,227614.4317
30340,"Lewiston-Auburn, ME MSA",103793,314013.4304
30460,"Lexington-Fayette, KY MSA",408326,1840284.207
30620,"Lima, OH MSA",108473,447325.2022
30700,"Lincoln, NE MSA",266787,1528735.396
30780,"Little Rock-North Little Rock, AR MSA",610518,1936453.469
30860,"Logan, UT-ID MSA",102720,350673.9221
30980,"Longview, TX MSA",194042,6017727.651
31020,"Longview-Kelso, WA MSA",92948,338388.369
31100,"Los Angeles-Long Beach-Santa Ana, CA MSA",12365627,26645275.04
31140,"Louisville, KY-IN MSA",1161975,9297525.606
31180,"Lubbock, TX MSA",249700,1024002.56
31340,"Lynchburg, VA MSA",228616,1086959.096
31420,"Macon, GA MSA",222368,6326701.58
31460,"Madera, CA MSA",123109,320734.7184
31540,"Madison, WI MSA",501774,3750147.088
31700,"Manchester-Nashua, NH MSA",380841,966018.2066
31900,"Mansfield, OH MSA",128852,350649.2322
32580,"McAllen-Edinburg-Pharr, TX MSA",569463,1438398.365
32780,"Medford, OR MSA",181269,411367.1244
32820,"Memphis, TN-MS-AR MSA",1205204,4651537.966
32900,"Merced, CA MSA",210554,727298.2438
33100,"Miami-Fort Lauderdale-Miami Beach, FL MSA",5007564,12734297
33140,"Michigan City-La Porte, IN MSA",110106,1082579.377
33260,"Midland, TX MSA",116009,430152.3647
33340,"Milwaukee-Waukesha-West Allis, WI MSA",1500741,6793198.509
33460,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",2968806,24211737.65
33540,"Missoula, MT MSA",95802,309814.2553
33660,"Mobile, AL MSA",399843,5400624.91
33700,"Modesto, CA MSA",446997,987372.2946
33740,"Monroe, LA MSA",170053,4242597.135
33780,"Monroe, MI MSA",145945,5346132.4
33860,"Montgomery, AL MSA",346528,1122910.511
34060,"Morgantown, WV MSA",111200,2600482.461
34100,"Morristown, TN MSA",123081,424783.1591
34580,"Mount Vernon-Anacortes, WA MSA",102979,1409856.566
34620,"Muncie, IN MSA",118769,376336.9433
34740,"Muskegon-Norton Shores, MI MSA",170200,1197408.494
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC MSA",196629,928430.064
34900,"Napa, CA MSA",124279,322356.1288
34940,"Naples-Marco Island, FL MSA",251377,664621.657
34980,"Nashville-Davidson--Murfreesboro, TN MSA",1311789,6338603.272
35300,"New Haven-Milford, CT MSA",824008,2383268.232
35380,"New Orleans-Metairie-Kenner, LA MSA",1316510,9730111.318
35620,"New York-Newark-Edison, NY-NJ-PA MSA",18323002,42901218.54
35660,"Niles-Benton Harbor, MI MSA",162453,528084.3505
35980,"Norwich-New London, CT MSA",259088,906677.0761
36100,"Ocala, FL MSA",258916,754983.0296
36140,"Ocean City, NJ MSA",102326,671327.308
36220,"Odessa, TX MSA",121123,1088914.858
36260,"Ogden-Clearfield, UT MSA",442656,1641146.507
36420,"Oklahoma City, OK MSA",1095421,4274309.264
36500,"Olympia, WA MSA",207355,464736.1428
36540,"Omaha-Council Bluffs, NE-IA MSA",767041,5081005.269
36740,"Orlando, FL MSA",1644561,6038957.172
36780,"Oshkosh-Neenah, WI MSA",156763,572515.742
36980,"Owensboro, KY MSA",109875,2244373.894
37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",753197,2237312.929
37340,"Palm Bay-Melbourne-Titusville, FL MSA",476230,2265118.975
37460,"Panama City-Lynn Haven, FL MSA",148217,1162660.289
37620,"Parkersburg-Marietta, WV-OH MSA",164624,5491250.379
37700,"Pascagoula, MS MSA",150564,2720130.489
37860,"Pensacola-Ferry Pass-Brent, FL MSA",412153,4301038.721
37900,"Peoria, IL MSA",366899,4605518.328
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",5687147,17528782.16
38060,"Phoenix-Mesa-Scottsdale, AZ MSA",3251876,8441516.443
38220,"Pine Bluff, AR MSA",107341,5068528.129
38300,"Pittsburgh, PA MSA",2431087,16332794.61
38340,"Pittsfield, MA MSA",134953,608591.2925
38540,"Pocatello, ID MSA",83103,1837849.824
38860,"Portland-South Portland, ME MSA",487568,2237060.026
38900,"Portland-Vancouver-Beaverton, OR-WA MSA",1927881,4982120.368
38940,"Port St. Lucie-Fort Pierce, FL MSA",319426,3281845.885
39100,"Poughkeepsie-Newburgh-Middletown, NY MSA",621517,2713339.106
39140,"Prescott, AZ MSA",167517,768230.6215
39300,"Providence-New Bedford-Fall River, RI-MA MSA",1582997,6750612.757
39340,"Provo-Orem, UT MSA",376774,1054801.056
39380,"Pueblo, CO MSA",141472,1864386.934
39460,"Punta Gorda, FL MSA",141627,353633.4178
39540,"Racine, WI MSA",188831,490660.6389
39580,"Raleigh-Cary, NC MSA",797071,2100677.928
39660,"Rapid City, SD MSA",112818,515958.9722
39740,"Reading, PA MSA",373638,1708721.166
39820,"Redding, CA MSA",163256,597726.5454
39900,"Reno-Sparks, NV MSA",342885,1263933.965
40060,"Richmond, VA MSA",1096957,6585784.38
40140,"Riverside-San Bernardino-Ontario, CA MSA",3254821,9412956.292
40220,"Roanoke, VA MSA",288309,1160049.75
40340,"Rochester, MN MSA",163618,956235.5719
40380,"Rochester, NY MSA",1037831,3155485.812
40420,"Rockford, IL MSA",320204,1131272.175
40580,"Rocky Mount, NC MSA",143026,382273.9165
40660,"Rome, GA MSA",90565,1458503.424
40900,"Sacramento--Arden-Arcade--Roseville, CA MSA",1796857,5311138.908
40980,"Saginaw-Saginaw Township North, MI MSA",210039,940732.6482
41060,"St. Cloud, MN MSA",167392,885936.7441
41100,"St. George, UT MSA",90354,228322.4641
41140,"St. Joseph, MO-KS MSA",122336,586405.9248
41180,"St. Louis, MO-IL MSA",2721491,20088964.04
41420,"Salem, OR MSA",347214,775016.8959
41500,"Salinas, CA MSA",401762,5424929.852
41540,"Salisbury, MD MSA",109391,343628.0667
41620,"Salt Lake City, UT MSA",968858,3066193.232
41660,"San Angelo, TX MSA",105781,391838.099
41700,"San Antonio, TX MSA",1711703,8864798.822
41740,"San Diego-Carlsbad-San Marcos, CA MSA",2813833,7446141.683
41780,"Sandusky, OH MSA",79551,238806.9991
41860,"San Francisco-Oakland-Fremont, CA MSA",4123740,12327484.76
41940,"San Jose-Sunnyvale-Santa Clara, CA MSA",1735819,4220192.938
42020,"San Luis Obispo-Paso Robles, CA MSA",246681,804697.2393
42060,"Santa Barbara-Santa Maria-Goleta, CA MSA",399347,1300362.227
42100,"Santa Cruz-Watsonville, CA MSA",255602,646769.3368
42140,"Santa Fe, NM MSA",129292,492187.0711
42220,"Santa Rosa-Petaluma, CA MSA",458614,970038.9137
42260,"Sarasota-Bradenton-Venice, FL MSA",589959,2673834.83
42340,"Savannah, GA MSA",293000,1866042.993
42540,"Scranton--Wilkes-Barre, PA MSA",560625,1619073.558
42660,"Seattle-Tacoma-Bellevue, WA MSA",3043878,7973715.074
43100,"Sheboygan, WI MSA",112646,1758643.552
43300,"Sherman-Denison, TX MSA",110595,318173.8162
43340,"Shreveport-Bossier City, LA MSA",375965,4219330.21
43580,"Sioux City, IA-NE-SD MSA",143053,3271699.68
43620,"Sioux Falls, SD MSA",187093,687541.5613
43780,"South Bend-Mishawaka, IN-MI MSA",316663,883986.7187
43900,"Spartanburg, SC MSA",253791,868094.1674
44060,"Spokane, WA MSA",417939,987783.1931
44100,"Springfield, IL MSA",201437,1306276.739
44140,"Springfield, MA MSA",680014,2644471.045
44180,"Springfield, MO MSA",368374,1957190.78
44220,"Springfield, OH MSA",144742,474263.6236
44300,"State College, PA MSA",135758,443208.2245
44700,"Stockton, CA MSA",563598,1526505.801
44940,"Sumter, SC MSA",104646,285835.4876
45060,"Syracuse, NY MSA",650154,1921923.892
45220,"Tallahassee, FL MSA",320304,1257764.249
45300,"Tampa-St. Petersburg-Clearwater, FL MSA",2395997,11731247.34
45460,"Terre Haute, IN MSA",170943,5858005.597
45500,"Texarkana, TX-Texarkana, AR MSA",129749,477724.3729
45780,"Toledo, OH MSA",659188,4292769.532
45820,"Topeka, KS MSA",224551,1271498.91
45940,"Trenton-Ewing, NJ MSA",350761,1651831.343
46060,"Tucson, AZ MSA",843746,2195879.117
46140,"Tulsa, OK MSA",859532,7091009.539
46220,"Tuscaloosa, AL MSA",192034,1802814.478
46340,"Tyler, TX MSA",174706,1024562.98
46540,"Utica-Rome, NY MSA",299896,814246.6193
46660,"Valdosta, GA MSA",119560,679019.3973
46700,"Vallejo-Fairfield, CA MSA",394542,1165641.308
46940,"Vero Beach, FL MSA",112947,356291.3616
47020,"Victoria, TX MSA",111663,2202599.826
47220,"Vineland-Millville-Bridgeton, NJ MSA",146438,315076.8367
47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",1576370,6646203.454
47300,"Visalia-Porterville, CA MSA",368021,878963.7333
47380,"Waco, TX MSA",213517,1096343.635
47580,"Warner Robins, GA MSA",110765,315272.9123
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",4796183,17416754.59
47940,"Waterloo-Cedar Falls, IA MSA",163706,542881.7814
48140,"Wausau, WI MSA",125834,1567572.724
48260,"Weirton-Steubenville, WV-OH MSA",132008,6722961.378
48300,"Wenatchee, WA MSA",99219,233226.3977
48540,"Wheeling, WV-OH MSA",153172,4088965.939
48620,"Wichita, KS MSA",571166,2429534.166
48660,"Wichita Falls, TX MSA",151524,397250.0104
48700,"Williamsport, PA MSA",120044,346582.946
48900,"Wilmington, NC MSA",274532,2222782.323
49020,"Winchester, VA-WV MSA",102997,493730.9317
49180,"Winston-Salem, NC MSA",421961,5097466.138
49340,"Worcester, MA MSA",750963,3154991.337
49420,"Yakima, WA MSA",222581,427474.2009
49620,"York-Hanover, PA MSA",381751,3319079.757
49660,"Youngstown-Warren-Boardman, OH-PA MSA",602964,2170472.568
49700,"Yuba City-Marysville, CA MSA",139149,937520.671
49740,"Yuma, AZ MSA",160026,478013.7003
